gene_name,isoform_fdr,gene_name_lower,gene,exon_fdr,odds_ratio,log10_isoform_fdr,log10_exon_fdr,log2_odds_ratio,composite_score,min_fdr
Chd2,0.00183810837759778,chd2,CHD2,6.59057571115019e-13,Inf,2.7356288619205587,9.997147140038425,10,22.73277600195898,6.59057571115019e-13
Chd3,5.35415459601563e-5,chd3,CHD3,7.195852264818505e-10,171.88774939247247,4.271308282001801,9.086405878620326,7.4253229243653776,20.783037084987505,7.195852264818505e-10
Setd5,0.00558568670502394,setd5,SETD5,2.899270376041332e-10,65.39761909445038,2.252923419272885,9.40901664971798,6.031166229992863,17.69310629898373,2.899270376041332e-10
Hr,1.9528277050429e-4,hr,HR,0.00370431455337116,Inf,3.709335849757341,2.431292130408338,10,16.14062798016568,1.9528277050429e-4
Phf3,0.00180133977186474,phf3,PHF3,0.00609779129165401,Inf,2.744404337957962,2.2148274371374495,10,14.959231775095411,0.00180133977186474
Nsd1,0.00170883704584924,nsd1,NSD1,1.0135795803570358e-7,32.23146472474065,2.7672993240721766,6.993713882633145,5.010397891281512,14.771411097986833,1.0135795803570358e-7
Setd1b,0.00110149033129841,setd1b,SETD1B,0.02635750878548063,Inf,2.9580192712343663,1.579095638403271,10,14.537114909637637,0.00110149033129841
Ehmt1,0.00195497370890404,ehmt1,EHMT1,0.01988530272459761,Inf,2.7088590565415895,1.7014677909465283,10,14.410326847488118,0.00195497370890404
Bptf,0.0189676157505033,bptf,BPTF,0.00270057275090832,Inf,1.7219872546696864,2.568544102655798,10,14.290531357325484,0.00270057275090832
Kmt2d,0.00682793912493589,kmt2d,KMT2D,6.430001955932922e-7,26.373043315717688,2.165710353168383,6.191721358330349,4.720992210105285,13.078423921604017,6.430001955932922e-7
Crebbp,4.9815144457134e-4,crebbp,CREBBP,1.7461611639643868e-4,57.254375765108726,3.3026385187680556,3.7579154263552117,5.83931407798278,12.899868023106048,1.7461611639643868e-4
