isoform_id,gene_name,best_day,p_value,fdr,Day12,Day3,Day6,max_expr,min_expr,fold_change,gene_name_lower,gene,exon_fdr,avg_fdr
ENSMUST00000070735,Gabrg2,Day12,3.45149020475333e-10,2.22843794993993e-7,138,0,44.6666666666667,138,0,138000000,gabrg2,GABRG2,7.915081779588678e-6,4.0689627872913354e-6
ENSMUST00000034713,Ldlr,Day12,4.99907947348888e-6,3.6536161303564e-4,39.3333333333333,2.33333333333333,6.33333333333333,39.3333333333333,2.33333333333333,16.8571356326562,ldlr,LDLR,4.268463193355845e-7,1.828942296774878e-4
ENSMUST00000092971,Chd3,Day12,1.41053779332267e-5,6.1517812710611e-4,204.666666666667,37.3333333333333,69.3333333333333,204.666666666667,37.3333333333333,5.48214271029975,chd3,CHD3,4.046002907526218e-11,3.0758908378306955e-4
ENSMUST00000034973,Smad3,Day3,2.31834180917101e-5,7.7307915086555e-4,40.3333333333333,92.3333333333333,40.3333333333333,92.3333333333333,40.3333333333333,2.28925614158869,smad3,SMAD3,2.875162724726405e-4,5.302977116690953e-4
ENSMUST00000021009,Myt1l,Day12,6.61901225584849e-5,0.00124662768723669,42,3,6.33333333333333,42,3,13.9999953333349,myt1l,MYT1L,3.606006342692537e-7,6.234941439354797e-4
ENSMUST00000114317,Grin1,Day12,6.63459734338012e-5,0.00124662768723669,22.3333333333333,0.333333333333333,11,22.3333333333333,0.333333333333333,66.999799000603,grin1,GRIN1,1.1360346997528902e-5,6.289940171171095e-4
ENSMUST00000129388,Ctcf,Day6,8.04029713071808e-5,0.00135346128739548,610.333333333333,415.666666666667,1290.66666666667,1290.66666666667,415.666666666667,3.10505211763019,ctcf,CTCF,9.13225119353712e-7,6.771872562574169e-4
ENSMUST00000197015,Kcnq2,Day12,8.09495977891483e-5,0.00135789488079572,35.6666666666667,2.33333333333333,15.3333333333333,35.6666666666667,2.33333333333333,15.2857077346967,kcnq2,KCNQ2,7.329470131348338e-18,6.789474403978636e-4
ENSMUST00000199105,Mef2c,Day3,9.76360571702806e-5,0.0014953778854264201,83.6666666666667,212.666666666667,37.3333333333333,212.666666666667,37.3333333333333,5.69642841884567,mef2c,MEF2C,9.374154557906184e-10,7.47689411420938e-4
ENSMUST00000123619,Col11a1,Day12,2.37135226197616e-5,7.8321147728469e-4,47,23,13,47,13,3.61538433727813,col11a1,COL11A1,7.844383397769183e-4,7.838249085308042e-4
