gene_name,isoform_fdr,gene_name_lower,gene,exon_fdr,odds_ratio,log10_isoform_fdr,log10_exon_fdr,log2_odds_ratio,composite_score,min_fdr
Pcdh19,1.5084691903371e-4,pcdh19,PCDH19,7.454015426368673e-17,Inf,3.8214632677230145,9.999999676276344,10,23.821462943999357,7.454015426368673e-17
Chd2,0.00140120689129664,chd2,CHD2,1.409735686436544e-12,Inf,2.8534977044445697,9.993920349224265,10,22.847418053668832,1.409735686436544e-12
Gabrg2,1.70492547430384e-9,gabrg2,GABRG2,1.1173655300625018e-4,Inf,8.74354072548508,3.9518043417702593,10,22.69534506725534,1.70492547430384e-9
Chd3,2.11076057604895e-5,chd3,CHD3,2.1477284668796133e-9,171.88774939247247,4.675558968478542,8.648256154161,7.4253229243653776,20.74913804700492,2.1477284668796133e-9
Kcnq2,1.5757623235154e-4,kcnq2,KCNQ2,2.2610008090030455e-20,86.35186281181576,3.8025090121066754,9.999999999901807,6.432155411993558,20.23466442400204,2.2610008090030455e-20
Gnas,6.8333469861161e-4,gnas,GNAS,7.959943596252562e-13,129.0705657303595,3.165366462403048,9.996556726442847,7.012016235551973,20.17393942439787,7.959943596252562e-13
Sox10,8.74543885172e-4,sox10,SOX10,1.9490355396953032e-11,100.89755870019953,3.0582183428038334,9.922667147158682,6.6567474717413475,19.637632961703865,1.9490355396953032e-11
Tcf4,3.8004273834939e-4,tcf4,TCF4,8.00973579529021e-22,73.87351768830018,3.4201674470406394,9.999999999996522,6.2069853915485025,19.627152838585666,8.00973579529021e-22
Pax6,0.00311906498376581,pax6,PAX6,2.425967745242696e-13,135.5061979399872,2.5059755629711504,9.998947691512717,7.082215041172436,19.587138295656302,2.425967745242696e-13
Dicer1,0.00192935368754813,dicer1,DICER1,4.1271938860760686e-15,112.2569182682588,2.7145881280369006,9.999982076194568,6.81066056201376,19.52523076624523,4.1271938860760686e-15
Myt1l,1.4239377351103e-4,myt1l,MYT1L,3.5144352100988833e-6,Inf,3.8465086957946015,5.45413210137992,10,19.300640797174523,3.5144352100988833e-6
Cdkl5,0.00415213463883266,cdkl5,CDKL5,5.623327345709664e-13,101.8989550158469,2.3817285618594854,9.997564660918743,6.670995460527952,19.05028868330618,5.623327345709664e-13
Cacna1a,4.9835401222875e-4,cacna1a,CACNA1A,1.1971907527285356e-9,99.63733939469644,3.3024619537552296,8.886996155939,6.638614607327293,18.82807271702152,1.1971907527285356e-9
Mfrp,6.8931427910434e-4,mfrp,MFRP,2.3624234828987243e-6,Inf,3.161582662024403,5.626623866017578,10,18.788206528041982,2.3624234828987243e-6
Nalcn,1.0137535841577e-4,nalcn,NALCN,3.3088148482458356e-5,Inf,3.994067168914063,4.480326221493395,10,18.474393390407457,3.3088148482458356e-5
Rora,0.00124336603822949,rora,RORA,2.732100126461096e-6,Inf,2.905400964360761,5.563487492898794,10,18.468888457259553,2.732100126461096e-6
Meis2,0.00197512965248347,meis2,MEIS2,2.5990526276502223e-6,Inf,2.704404368930375,5.585168217074581,10,18.289572586004958,2.5990526276502223e-6
Ikbkg,0.00170482310978068,ikbkg,IKBKG,3.5144352100988833e-6,Inf,2.7683206506876483,5.45413210137992,10,18.222452752067568,3.5144352100988833e-6
Fgfr2,0.00222801097700598,fgfr2,FGFR2,8.62751182810425e-11,53.31716985458208,2.6520826543104206,9.72984515216182,5.736528324257377,18.11845613072962,8.62751182810425e-11
Brca2,0.00760154640489254,brca2,BRCA2,3.570016581244325e-20,60.05117890865382,2.1190980432171935,9.999999999844956,5.908120687723188,18.027218730785336,3.570016581244325e-20
Yy1,0.0408571794979,yy1,YY1,4.860142071332597e-7,Inf,1.3887316163463803,6.313261686085683,10,17.701993302432065,4.860142071332597e-7
Setd5,0.00497393626426612,setd5,SETD5,6.36060523913676e-10,65.39761909445038,2.3032997753235946,9.133086473541539,6.031166229992863,17.467552478857996,6.36060523913676e-10
Gata3,0.00453860295950218,gata3,GATA3,7.868900296495789e-6,Inf,2.343077798443776,5.104080438326217,10,17.447158236769994,7.868900296495789e-6
Grin1,1.4553757883069e-4,grin1,GRIN1,2.442966996969674e-6,200.1537413753193,3.8370245558888123,5.612064623073526,7.644964780548086,17.094053959510425,2.442966996969674e-6
Spast,0.00471887123489523,spast,SPAST,2.2502932424821463e-12,27.38204749217275,2.3261618640019974,9.990335437810506,4.775158475703376,17.09165577751588,2.2502932424821463e-12
Camta1,2.0899646388444e-4,camta1,CAMTA1,4.013838953752575e-4,Inf,3.679860854072172,3.396439948387606,10,17.076300802459777,2.0899646388444e-4
Macf1,0.0027917124080852,macf1,MACF1,3.755537852713088e-5,1859.4994311075527,2.5541293076036196,4.425326699923466,10,16.979456007527084,3.755537852713088e-5
Brca1,2.06784694451973e-5,brca1,BRCA1,2.28961455639855e-8,24.112166386724,4.6844795092699085,7.638344950963809,4.591689432162944,16.914513892396663,2.28961455639855e-8
Raf1,0.00268215169916746,raf1,RAF1,1.3078064453214403e-10,23.756969364145945,2.5715166464414714,9.636800618069934,4.570278961358162,16.778596225869567,1.3078064453214403e-10
