"isoform_id","gene_name","best_day","p_value","fold_change","fdr"
"ENSMUST00000209474","Chd9","NPC",2.32119744536519e-08,6.51311873964313,2.29798547091153e-05
"ENSMUST00000107153","Rsf1","Day6",8.99435131929138e-08,1.99299719050561,4.45220390304923e-05
"ENSMUST00000092971","Chd3","Day12",1.6224710897017e-07,30.6999953950007,5.35415459601563e-05
"ENSMUST00000108661","Chd3","Day12",2.32199006577893e-07,25.5432089304984,5.74692541280286e-05
"ENSMUST00000161069","Hr","Day12",9.86276618708537e-07,111.499832750251,0.00019528277050429
"ENSMUST00000022691","Hr","Day12",1.50976982127293e-06,124.499953312518,0.000204524119650218
"ENSMUST00000025862","Smarca2","Day12",2.27249021833575e-06,6.57855356674399,0.000204524119650218
"ENSMUST00000040219","L3mbtl3","Day3",2.17755219533711e-06,2.21111107425926,0.000204524119650218
"ENSMUST00000128981","Chd3","Day12",1.6530389418401e-06,26.1176424498278,0.000204524119650218
"ENSMUST00000163060","Hr","Day12",1.92698383438827e-06,167.79989932006,0.000204524119650218
"ENSMUST00000176030","Smarca2","Day12",1.84339834652381e-06,6.92882554880257,0.000204524119650218
"ENSMUST00000077569","Smarca1","Day12",5.36499638459365e-06,9.33823488213669,0.000262262701496309
"ENSMUST00000101616","Smarca1","Day12",5.42181567986244e-06,9.49206304006049,0.000262262701496309
"ENSMUST00000109510","Tcf20","Day6",5.26228204622559e-06,4.50530972255227,0.000262262701496309
"ENSMUST00000122992","Chd3","Day12",6.09297185294455e-06,24.9777761125927,0.000262262701496309
"ENSMUST00000132909","Hdac1","NPC",5.91718443099243e-06,7.69930607317046,0.000262262701496309
"ENSMUST00000135909","Chd3","Day12",4.67416153127065e-06,26.0909073119836,0.000262262701496309
"ENSMUST00000147469","Dpf3","NPC",4.64740750738546e-06,4.40740716255145,0.000262262701496309
"ENSMUST00000150105","Hdac1","NPC",5.83784806063026e-06,6.41728493698579,0.000262262701496309
"ENSMUST00000152247","Tnrc18","Day12",4.81762293602639e-06,3.59602641862199,0.000262262701496309
"ENSMUST00000153655","Zmynd8","NPC",5.5353024562832e-06,5.5721464425182,0.000262262701496309
"ENSMUST00000176769","Smarca2","Day12",5.4968605541772e-06,7.38341957435099,0.000262262701496309
"ENSMUST00000230882","Phf20l1","Day12",4.58499938338353e-06,3.24999989402174,0.000262262701496309
"ENSMUST00000039174","Prdm1","Day3",6.67469220017036e-06,46.1999722800166,0.000264317811126746
"ENSMUST00000220488","Brd9","Day12",6.63852393445463e-06,4.1604277407418,0.000264317811126746
"ENSMUST00000035852","Zcwpw1","NPC",7.15702291087528e-06,5.49333326008889,0.00027149411249483
"ENSMUST00000048966","Tcf20","Day6",7.40438488622264e-06,4.42235493748544,0.00027149411249483
"ENSMUST00000109262","Zmynd8","NPC",8.78871017107041e-06,5.63504355834823,0.000310743681048561
"ENSMUST00000205357","Kat8","NPC",9.84281425309153e-06,6.48845108254861,0.000336013314157262
"ENSMUST00000047413","Mbd5","Day12",1.02629032295853e-05,3.18975900732145,0.000338675806576316
"ENSMUST00000097732","Tyw5","Day12",1.16339944408184e-05,4.70062367130588,0.000349019833224551
"ENSMUST00000140327","Dpf3","NPC",1.14497965834071e-05,21.9574463413309,0.000349019833224551
"ENSMUST00000151334","Hdac7","Day3",1.15492327775746e-05,5.53521103372348,0.000349019833224551
"ENSMUST00000099537","Smarca2","Day12",1.24352618339207e-05,6.93888877324074,0.00035174026330233
"ENSMUST00000127882","Sirt7","Day12",1.2427909619972e-05,2.21844656963427,0.00035174026330233
"ENSMUST00000030102","Kdm4c","Day6",1.28156558215631e-05,2.53417720556642,0.000352430535092985
"ENSMUST00000112754","Mbd5","Day12",1.32549267904958e-05,3.02479335093231,0.000354238322747426
"ENSMUST00000222191","Brd9","Day12",1.35970265296992e-05,3.92028982666457,0.000354238322747426
"ENSMUST00000156060","Rsf1","Day6",1.41264473215719e-05,1.97504455271812,0.000358594432009132
"ENSMUST00000105519","L3mbtl3","Day3",1.54051383519649e-05,2.1588784441436,0.000371977730937689
"ENSMUST00000172136","Pwwp2b","Day3",1.50503301378224e-05,5.38095199659867,0.000371977730937689
"ENSMUST00000079838","Hdac7","Day3",1.66292903768239e-05,3.00281687603253,0.000374159033478538
"ENSMUST00000133695","Ing4","Day6",1.6379347285711e-05,4.50210967614699,0.000374159033478538
"ENSMUST00000211144","Phrf1","NPC",1.64421475482568e-05,4.97331239602828,0.000374159033478538
"ENSMUST00000115766","Brd8","NPC",1.9260990789971e-05,5.62606358780157,0.000414530019175463
"ENSMUST00000128908","Hdac10","Day6",1.9025017959251e-05,4.36956493241968,0.000414530019175463
"ENSMUST00000003876","Brd8","NPC",2.22076240548041e-05,4.81895306598252,0.000448705332592934
"ENSMUST00000088402","Hdac7","Day3",2.22086477748018e-05,3.00694442356289,0.000448705332592934
"ENSMUST00000132599","Kdm5a","NPC",2.1736268925765e-05,5.66351208360119,0.000448705332592934
"ENSMUST00000224907","Mbd1","Day12",2.44922149174043e-05,3.30275220267654,0.000484945855364605
