isoform_id,gene_name,best_day,p_value,fdr
ENSMUST00000079472,Aadat,Day12,0.0308128940191864,0.0369279402927739
ENSMUST00000003710,Aak1,Day12,0.00358692393599147,0.0102235380118667
ENSMUST00000136757,Aamdc,Day3,8.95329042460702e-7,1.7230779600818e-4
ENSMUST00000186833,Aamp,Day6,0.0282116562494299,0.0352293673466645
ENSMUST00000090025,Aard,Day3,3.789980091331e-4,0.00298405880514558
ENSMUST00000146570,Aasdh,Day12,0.0252433244526815,0.0328507892666076
ENSMUST00000031707,Aass,Day6,0.0281761247110821,0.0351995006467114
ENSMUST00000018841,Aatf,Day6,0.0434922654178396,0.0455466649848424
ENSMUST00000103020,Aatk,Day12,0.00817015226748696,0.0166235231913949
ENSMUST00000065987,Abat,Day12,0.00437494146306727,0.0114748333617208
ENSMUST00000030010,Abca1,Day3,1.6179476932753e-4,0.00196445831062345
ENSMUST00000039013,Abca3,Day12,0.00439555471189657,0.0115032724318266
ENSMUST00000136358,Abca4,Day3,0.029426998625575,0.0361515699417434
ENSMUST00000132517,Abca7,Day12,9.3225056409529e-4,0.00483572866045179
ENSMUST00000126499,Abca9,Day3,0.00649372115398905,0.0144296118078239
ENSMUST00000160081,Abcb6,Day12,0.0146701611609672,0.023584198846326
ENSMUST00000033695,Abcb7,Day12,0.00612342985224623,0.0140622769171389
ENSMUST00000156089,Abcc1,Day12,0.0182018281859423,0.0269958941194246
ENSMUST00000131423,Abcc12,Day3,0.00477163641086387,0.0121103716895873
ENSMUST00000036554,Abcc4,Day3,0.00165534103107656,0.00663429129695583
ENSMUST00000096199,Abcc5,Day3,0.0140430818781555,0.0228893847940665
ENSMUST00000002084,Abcd1,Day3,0.0102664627357003,0.0191574912973188
ENSMUST00000069511,Abcd2,Day6,0.0120188335705567,0.020931173834056
ENSMUST00000197383,Abcd3,Day12,0.0024002285459892,0.00816738768241651
ENSMUST00000222581,Abcd4,Day3,0.00112719020620722,0.00533935080763101
ENSMUST00000080536,Abce1,Day6,7.2746827490166e-4,0.00419242082411657
ENSMUST00000030795,Abcf2,Day6,0.0402233572334031,0.0435008642690097
ENSMUST00000154660,Abcf3,Day12,0.00373041866979362,0.0103780312322649
ENSMUST00000024829,Abcg1,Day3,0.0040182574110158,0.0109214315700002
ENSMUST00000161354,Abcg4,Day12,0.0046028480129988204,0.0118535773263216
ENSMUST00000201125,Abhd1,Day12,2.50951486946427e-6,2.671698942145e-4
ENSMUST00000123227,Abhd11,Day12,2.9348920916749e-4,0.00264338480662098
ENSMUST00000138608,Abhd12,Day12,8.18912391256088e-5,0.00136247144729764
ENSMUST00000139793,Abhd13,Day12,0.0466351513681721,0.0477191029389644
ENSMUST00000171925,Abhd14a,Day12,0.00989234986598952,0.018718069689044
ENSMUST00000213179,Abhd14b,Day3,1.7317914959202e-4,0.00203175889747037
ENSMUST00000094004,Abhd15,Day3,6.1388084699942e-4,0.00385408568152243
ENSMUST00000236549,Abhd17b,Day12,0.00895348872340374,0.0176208531759022
ENSMUST00000117085,Abhd17c,Day12,0.025313258780734,0.032898636532391
ENSMUST00000204797,Abhd18,Day12,0.0364148600467072,0.0409715792812887
ENSMUST00000117726,Abhd3,Day12,0.00513364108909742,0.0126095495231134
ENSMUST00000041197,Abhd4,Day3,3.3334861769795e-4,0.00281517830515808
ENSMUST00000035128,Abhd5,Day3,1.56544995955077e-5,6.4420085391296e-4
ENSMUST00000166497,Abhd6,Day12,0.00297132992038307,0.00920036639178019
ENSMUST00000188618,Abi2,Day12,0.00126092036606706,0.00568664288572156
ENSMUST00000231781,Abi3bp,Day12,0.0110497295868068,0.0199351304921526
ENSMUST00000045368,Abitram,Day12,0.0305391791091199,0.0369263378160475
