"isoform_id","gene_name","best_day","p_value","fold_change","fdr"
"ENSMUST00000041422","Spata18","NPC",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000051601","Ism2","NPC",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000136920","Esco2","NPC",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000138208","Dusp14","NPC",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000141444","Nek8","NPC",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000142079","Rad18","NPC",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000148512","Pemt","Day6",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000148918","Kif2c","NPC",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000151671","Clec12a","Day3",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000172489","Tapbp","Day3",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000199839","Ccrl2","NPC",5.16253706450698e-14,2e+06,1.466375632031e-10
"ENSMUST00000205537","Klk8","NPC",5.16253706450698e-14,1e+06,1.466375632031e-10
"ENSMUST00000070735","Gabrg2","Day12",6.50257625522954e-13,1.38e+08,1.70492547430384e-09
"ENSMUST00000096259","Gng3","Day12",3.86879417391128e-12,25.6428543954085,9.41913210126901e-09
"ENSMUST00000024704","Flywch2","Day12",3.9263592377381e-11,34.3999793600124,8.92199697455354e-08
"ENSMUST00000067426","Cdkn3","NPC",5.96712679268308e-11,47.4642831715563,1.27118447955377e-07
"ENSMUST00000037399","Blvrb","NPC",1.5824219712357e-10,6.99367084181221,3.17275605232759e-07
"ENSMUST00000113736","Dlg3","Day6",4.58491133947803e-10,10.1929819196676,8.68203905589492e-07
"ENSMUST00000060710","Cdc25c","NPC",6.31474095236229e-10,130.812475472661,1.1328312913751e-06
"ENSMUST00000174172","Prc1","NPC",1.23337751123387e-09,101.245896660038,2.05761125907486e-06
"ENSMUST00000213665","Spc24","NPC",1.26770827169054e-09,58.999823000531,2.05761125907486e-06
"ENSMUST00000021818","Cenpp","NPC",1.47150946983032e-09,20.7590353942517,2.22666108254509e-06
"ENSMUST00000170086","Tap1","NPC",1.50251444619443e-09,13.1162781546783,2.22666108254509e-06
"ENSMUST00000044165","Itga9","Day12",1.85509196892752e-09,14.16981051869,2.52923239043579e-06
"ENSMUST00000069782","Dglucy","NPC",1.8384770372748e-09,26.7837826979548,2.52923239043579e-06
"ENSMUST00000077788","Tnfaip8l1","NPC",2.13639250734587e-09,22.8292666222488,2.80072840818785e-06
"ENSMUST00000196746","F3","Day12",2.25960838928785e-09,16.0588206955022,2.8525463684769e-06
"ENSMUST00000023171","Hes1","NPC",2.35280228633172e-09,82.4999587500206,2.86411664034346e-06
"ENSMUST00000163812","Prc1","NPC",3.46360462533113e-09,121.911759327422,4.07092978118661e-06
"ENSMUST00000070725","Gabrg2","Day12",3.73478525883542e-09,557.998326005022,4.24333851824684e-06
"ENSMUST00000028969","Tpx2","NPC",3.94842258888417e-09,74.4259217911525,4.34135432071345e-06
"ENSMUST00000029771","F3","Day12",4.85483975243284e-09,14.6947607196258,4.97244771385796e-06
"ENSMUST00000107252","Ptges3l","NPC",4.89533225067618e-09,16.5338978847314,4.97244771385796e-06
"ENSMUST00000109816","Tpx2","NPC",4.96004759487079e-09,52.8783762346604,4.97244771385796e-06
"ENSMUST00000031725","Actl6b","Day12",5.15228026909398e-09,28.9999933076939,5.01758494205909e-06
"ENSMUST00000000901","Dlg3","Day6",6.03728389503289e-09,9.6470582560554,5.15455229093883e-06
"ENSMUST00000020687","Pttg1","NPC",7.3821765367299e-09,13.742502542681,5.15455229093883e-06
"ENSMUST00000025419","Ppic","Day3",5.45629508241774e-09,5.00128040332743,5.15455229093883e-06
"ENSMUST00000034742","Ccnb2","NPC",9.25736387547005e-09,123.326523061641,5.15455229093883e-06
"ENSMUST00000050205","Nudt1","NPC",8.48723058499701e-09,3.96996243816034,5.15455229093883e-06
"ENSMUST00000070597","Retsat","NPC",8.40185621076017e-09,4.77016123261902,5.15455229093883e-06
"ENSMUST00000081769","Edil3","Day12",9.32120747254572e-09,25.4687488061524,5.15455229093883e-06
"ENSMUST00000089208","Cntn4","Day12",7.28564042429269e-09,12.5185171275722,5.15455229093883e-06
"ENSMUST00000101340","Pttg1","NPC",8.60761939502908e-09,14.3367579417691,5.15455229093883e-06
"ENSMUST00000109249","Sulf2","NPC",9.29101029445434e-09,8.1031991493193,5.15455229093883e-06
"ENSMUST00000110069","Dglucy","NPC",8.41487823866061e-09,27.2571416889796,5.15455229093883e-06
"ENSMUST00000110073","Dglucy","NPC",9.07038966158069e-09,25.2608687414934,5.15455229093883e-06
"ENSMUST00000112709","Tro","Day6",7.1382807442788e-09,4.78448263488407,5.15455229093883e-06
"ENSMUST00000117446","Pttg1","NPC",7.41207395460464e-09,15.8736263082131,5.15455229093883e-06
"ENSMUST00000118368","Pttg1","NPC",8.96307994491252e-09,15.4275955651875,5.15455229093883e-06
