"gene_name","p_value","log2fc","fdr"
"Cd9",4.0597224857748e-05,1.91197192491248,0.0720955966942532
"Cox7a1",1.15188904653954e-05,1.00566874438452,0.0720955966942532
"Flywch2",2.50937650334165e-05,4.70043912362404,0.0720955966942532
"Gabrg2",1.84293905422481e-05,1.43697246217955,0.0720955966942532
"Gng3",1.32934656040532e-05,4.31791491818413,0.0720955966942532
"Lynx1",4.03156992981952e-05,3.06308451957075,0.0720955966942532
"Mybl2",2.8949455205625e-05,2.22571266986128,0.0720955966942532
"Slc14a2",3.5683479742508e-05,-2.07635083827739,0.0720955966942532
"Acyp2",0.000182948717570244,1.30350099546283,0.0896259458800155
"Ak5",0.000177143847086092,1.71295542116256,0.0896259458800155
"Anxa6",8.32222491922212e-05,2.2502505727502,0.0896259458800155
"Cd44",0.000115763146273874,1.25115501379897,0.0896259458800155
"Clybl",0.000178683235135121,1.33060497621551,0.0896259458800155
"Csgalnact1",0.000162619052709861,1.74331641143937,0.0896259458800155
"Cyb561",0.000133267631609564,3.96962500034908,0.0896259458800155
"Elovl6",0.000167203548131574,1.11744798644382,0.0896259458800155
"Esrrg",9.6632173804024e-05,2.0732488445461,0.0896259458800155
"F3",0.000153630138135672,3.69196888906473,0.0896259458800155
"Fzd6",0.000145249159262286,2.28293373402136,0.0896259458800155
"Hmgcs1",0.000126405513266696,1.94188118041149,0.0896259458800155
"Itga9",8.31602862121912e-05,3.18823351556501,0.0896259458800155
"Mfsd2a",7.29999116676327e-05,1.6967460207521,0.0896259458800155
"Plekhg1",0.00013851108765508,2.23087820507132,0.0896259458800155
"Selenop",0.000141080888626118,2.24947963121677,0.0896259458800155
"Smim3",0.000121355259653651,1.98499781435211,0.0896259458800155
"St3gal4",0.00011937546391993,0.832587459671696,0.0896259458800155
"Stat5a",0.00014853170327076,3.64385600878209,0.0896259458800155
"Tnfrsf25",0.000175635382616465,1.24792740903803,0.0896259458800155
"Tns2",8.84826350644797e-05,0.810686007428146,0.0896259458800155
"Mt3",0.000189802897341384,1.47266828852703,0.0898843254176346
"Acaa2",0.00021045297399093,1.52308304774867,0.0925281800932701
"Actl6b",0.000275863436629673,0.859766679821279,0.0925281800932701
"Acy3",0.000221146434150147,1.89699211424752,0.0925281800932701
"Arhgef3",0.000331034163129617,1.58296567869293,0.0925281800932701
"Ccl17",0.000290614580518744,-1.96252521207904,0.0925281800932701
"Cpt1a",0.000372426924051861,1.27075410364045,0.0925281800932701
"Cryab",0.000435710256120782,1.47775749933911,0.0925281800932701
"Dbndd2",0.000327680708220125,1.48481692882737,0.0925281800932701
"Dhcr24",0.000340963115970481,3.2577976732154,0.0925281800932701
"Dnm1",0.000267835997727876,1.93170082893755,0.0925281800932701
"Dock11",0.000422038887674668,0.485426823637111,0.0925281800932701
"Fdft1",0.000292627479350134,2.16502952407347,0.0925281800932701
"Fdps",0.000326531690319663,1.55607059394656,0.0925281800932701
"Gbp3",0.000319936546308852,2.30650835035008,0.0925281800932701
"Gria3",0.000343139052591642,2.35323220919078,0.0925281800932701
"Hsdl2",0.000315849297795389,2.00563667179263,0.0925281800932701
"Hsp90b1",0.000339591252475052,0.984019547706714,0.0925281800932701
"Idua",0.000215641789214699,1.06131753937755,0.0925281800932701
"Kif26b",0.000436361516593869,2.23095434022526,0.0925281800932701
"Lrrtm3",0.000235478398616547,1.86290510940608,0.0925281800932701
