"gene_name","p_value","log2fc","fdr"
"Gmpr",4.0175341517984e-07,1.91432195528248,0.00577158956247358
"Bend7",3.03584636384242e-06,2.00255568186845,0.0109032422157401
"Ccnt2",1.54258033441256e-06,1.35777329106748,0.0109032422157401
"Rora",2.27840701333193e-06,1.52595929791512,0.0109032422157401
"Ate1",4.13146898054518e-06,0.920842322773114,0.0118705366749024
"Man2b2",5.29864360573436e-06,1.60789089423517,0.0126867190066633
"Ankmy2",8.46310616694641e-06,0.760812334225482,0.0135453725411884
"Cadps",9.57996951705414e-06,1.54285510000443,0.0135453725411884
"Cenpq",7.17912112421421e-06,-2.14111980107495,0.0135453725411884
"Fbp2",1.41431566279985e-05,2.45943117599233,0.0135453725411884
"Osbpl2",1.23178593363685e-05,0.779144157353141,0.0135453725411884
"Pex19",1.35617950381697e-05,0.383372366628945,0.0135453725411884
"Smarce1",1.09219330089424e-05,0.484862833551464,0.0135453725411884
"Tkt",1.26317646451431e-05,-1.37648336315527,0.0135453725411884
"Zranb3",9.44699973406331e-06,-1.41407792713473,0.0135453725411884
"Cbx8",1.82356058086753e-05,0.656045593458007,0.0137880375288121
"Fxr1",1.75782194406471e-05,0.564092148696897,0.0137880375288121
"Sapcd2",1.75900057940791e-05,-1.52522040208538,0.0137880375288121
"Tpx2",1.77737248087758e-05,-3.71954853812618,0.0137880375288121
"Actr1a",4.78337652605322e-05,0.30440711272335,0.0138387713149393
"Agrn",5.57840303368668e-05,1.88629365499068,0.0138387713149393
"Ankrd28",5.01287678544606e-05,0.846087313688566,0.0138387713149393
"Arl4a",3.72897260638665e-05,1.1677986985654,0.0138387713149393
"Armcx1",2.2443248276213e-05,1.46107524529761,0.0138387713149393
"Armcx3",5.22570906187134e-05,0.621101576571455,0.0138387713149393
"Atoh8",2.66697043025044e-05,4.62109619650946,0.0138387713149393
"Atp6v0d1",7.47025731297531e-05,0.787792826590019,0.0138387713149393
"Ccnb2",3.18240333966828e-05,-3.35159585447598,0.0138387713149393
"Cdc20",4.63730988925393e-05,-3.65128319964331,0.0138387713149393
"Cdc25c",7.46358191724473e-05,-4.0180304831106,0.0138387713149393
"Cdk5r1",7.12508778014179e-05,2.52946732061154,0.0138387713149393
"Ckap2l",5.65370462390641e-05,-3.54383690617699,0.0138387713149393
"Cox7a2",6.5649126744574e-05,-0.372856552817689,0.0138387713149393
"Cox8a",2.66574963919328e-05,-0.429402262927987,0.0138387713149393
"Cryab",6.25220006490953e-05,2.17705672034131,0.0138387713149393
"Ctsl",3.69076824889518e-05,1.08542370512633,0.0138387713149393
"Dctn3",2.12254368360799e-05,0.560489837330787,0.0138387713149393
"Dlgap5",6.43137182043805e-05,-3.16749416061794,0.0138387713149393
"Dusp1",7.68048360417315e-05,1.20952678993971,0.0138387713149393
"Extl3",7.63715018873557e-05,1.04326303613939,0.0138387713149393
"Fbxo8",6.67126746536987e-05,0.749902011185972,0.0138387713149393
"Frg1",6.02114560943294e-05,0.696897482409051,0.0138387713149393
"Gadd45g",7.47270941291017e-05,2.95635819923058,0.0138387713149393
"Gbp7",5.02060684494656e-05,0.785757031477749,0.0138387713149393
"Gns",6.83061663054121e-05,0.921316648861845,0.0138387713149393
"Gsn",5.98787862584145e-05,1.98792716230447,0.0138387713149393
"Hes1",6.52625650680011e-05,-4.01734711256994,0.0138387713149393
"Hps3",7.15443108225334e-05,1.76138906066285,0.0138387713149393
"L3mbtl3",2.68888955718241e-05,1.18507722118936,0.0138387713149393
"Ldhb",7.61059292849344e-05,1.82493611731191,0.0138387713149393
