"isoform_id","gene_name","best_day","p_value","fdr"
"ENSMUST00000000028","Cdc45","Day12",0.00541980814908671,0.0130428592165409
"ENSMUST00000000058","Cav2","Day3",0.000528322007167903,0.00355018849558204
"ENSMUST00000000080","Klf6","Day12",0.011119665291088,0.0200089994426977
"ENSMUST00000000090","Cox5a","Day12",0.00531260938085132,0.0128871502554526
"ENSMUST00000000109","Cntn1","Day12",0.000143466188195163,0.00185080718076948
"ENSMUST00000000145","Acsl6","Day12",0.0285713514652033,0.035459386311401
"ENSMUST00000000171","Pih1d2","Day3",0.00132269156117404,0.00587781340961332
"ENSMUST00000000175","Sdhd","Day12",0.0297620787994987,0.036361484277307
"ENSMUST00000000188","Ccnd2","Day12",0.0398110920527528,0.0432208183681844
"ENSMUST00000000201","Nalcn","Day12",0.000105828606901337,0.00157366981213244
"ENSMUST00000000206","Btbd17","Day12",0.00171194960456522,0.00676322649204406
"ENSMUST00000000228","Drp2","Day12",0.00886233209902187,0.0174930549272113
"ENSMUST00000000253","Lhx2","Day3",0.00133837397210435,0.00590843121791952
"ENSMUST00000000260","Gmpr","Day3",5.28447367731388e-05,0.00112400362010029
"ENSMUST00000000285","Dgke","Day6",0.0486610216336041,0.0490951884260805
"ENSMUST00000000287","Scpep1","Day3",5.52702553635598e-05,0.00115352884369306
"ENSMUST00000000305","Tpd52l1","Day12",0.0025329456220532,0.00841600494972322
"ENSMUST00000000314","Cdh4","Day3",0.000292775394614919,0.00264197453706835
"ENSMUST00000000348","Rtca","Day6",0.024530503654249,0.0322485539749137
"ENSMUST00000000349","Dbt","Day12",0.00158853865623898,0.00647553173372647
"ENSMUST00000000356","Dazap2","Day3",0.0279479879477375,0.0350093239938644
"ENSMUST00000000365","Mcts1","Day6",0.00136884813136862,0.00598198588413599
"ENSMUST00000000388","Ccm2","Day3",0.00210810486158586,0.00759152911202608
"ENSMUST00000000466","Plin2","Day3",8.24227408302569e-06,0.000468836439514598
"ENSMUST00000000476","Pdgfra","Day12",0.00106409266288965,0.00521238733424775
"ENSMUST00000000505","Mcm7","Day6",0.000303711732518974,0.00268973023290587
"ENSMUST00000000579","Sox9","Day6",0.0101448452375561,0.0190263378401129
"ENSMUST00000000594","C1d","Day6",0.038589104931531,0.0424677481280361
"ENSMUST00000000608","Gm2a","Day12",0.00744892962870769,0.0156937185809036
"ENSMUST00000000619","Clcn4","Day12",0.0109142176059678,0.0198462855803984
"ENSMUST00000000641","Sema4f","Day12",0.00567841641503086,0.0134269579003058
"ENSMUST00000000646","Sez6","Day6",0.0109765121393858,0.0199179411124031
"ENSMUST00000000707","Loxl3","Day3",0.000458883277598243,0.00329420335095181
"ENSMUST00000000724","Kat2b","Day3",0.0184151544272023,0.0271733497390485
"ENSMUST00000000844","Tpd52l2","Day12",0.00142839278586093,0.00611797166895069
"ENSMUST00000000894","E2f1","Day3",0.018095353590477,0.0269037663135787
"ENSMUST00000000896","Pxmp4","Day3",4.02529804377494e-07,0.000115975785756078
"ENSMUST00000000901","Dlg3","Day6",2.85615957329455e-07,9.68915828126956e-05
"ENSMUST00000000924","Mmp11","Day3",0.0311209486989998,0.0370566832179476
"ENSMUST00000000958","Top1mt","Day3",0.000148773179579731,0.00189180126384264
"ENSMUST00000000985","Oxa1l","Day3",0.00241654754099307,0.00820694584313634
"ENSMUST00000001027","Aox1","Day12",0.0137797159144383,0.0226381855066471
"ENSMUST00000001036","Tyk2","Day3",0.0243691936184861,0.0321014486161642
"ENSMUST00000001042","Ilf2","Day6",0.00268918018076614,0.00869109338253419
"ENSMUST00000001043","Chtop","Day12",0.00189285851863707,0.00716173218346334
"ENSMUST00000001046","S100a4","Day12",0.00306230278591058,0.00935041804118996
"ENSMUST00000001047","S100a3","Day12",0.00164300628528935,0.00660514037795427
"ENSMUST00000001051","S100a6","Day12",0.000190489174829223,0.00213234945984725
"ENSMUST00000001063","Epn2","Day12",0.0232137199518118,0.0314103978390693
"ENSMUST00000001080","N4bp3","Day3",0.0353986356332709,0.040194229999428
"ENSMUST00000001081","Rmnd5b","Day12",0.00663261159061734,0.0146444259223614
"ENSMUST00000001083","Nhp2","Day6",0.0129797441782045,0.0217816365998795
"ENSMUST00000001108","Add1","Day12",0.000350133353062221,0.00287681406467174
"ENSMUST00000001109","Mfsd10","Day3",0.000298653506396906,0.00266928059387945
"ENSMUST00000001112","Grk4","Day3",0.0230970778604246,0.0313203261095121
"ENSMUST00000001126","Slc46a1","Day3",0.0243932637246277,0.0321268127557033
"ENSMUST00000001148","Pcbp3","Day12",0.00454308100383749,0.0117500494159404
"ENSMUST00000001155","Araf","Day3",0.00162343107105045,0.00656291110625627
"ENSMUST00000001156","Cfp","Day12",0.021283064844774,0.0297555562215809
"ENSMUST00000001162","Uxt","Day6",0.0442255093027437,0.0460165090816394
"ENSMUST00000001171","Lman2l","Day12",0.0321436716524975,0.037851034323283
"ENSMUST00000001179","Pcnt","Day6",0.0387791367117115,0.0425808877158715
"ENSMUST00000001184","Mxd1","Day12",0.00529036145502826,0.0128512229397431
"ENSMUST00000001187","Anxa4","Day3",0.000612812022842468,0.00384979053270308
"ENSMUST00000001226","Sh3bp1","Day3",0.00683051265927537,0.0149038167312108
"ENSMUST00000001240","Agpat3","Day12",0.0157967906685335,0.024650925092055
"ENSMUST00000001247","Rnf32","Day3",0.0250134187582642,0.0326845339110993
"ENSMUST00000001256","Sema6b","Day12",0.00808589034789065,0.0165074556622839
"ENSMUST00000001258","Uhrf1","Day12",0.0213529465844116,0.0298179868821282
"ENSMUST00000001304","Ckb","Day3",3.12654841587712e-05,0.000869137035330285
"ENSMUST00000001327","Itgb7","Day12",0.0165721747904671,0.0254189653177408
"ENSMUST00000001339","Rrp15","Day6",0.00427088177077239,0.0113244969687778
"ENSMUST00000001347","Rnd2","Day6",0.00405734787197498,0.0109784801483817
"ENSMUST00000001402","Fbxo9","Day12",0.0279177012419023,0.034984522311337
"ENSMUST00000001419","Zmat2","Day3",0.0120035234372831,0.0209095319057633
"ENSMUST00000001439","Ube2c","Day12",0.0426576683140542,0.0451378956689393
"ENSMUST00000001451","Smg5","Day12",0.0339651698403991,0.0391732669330176
"ENSMUST00000001452","Cct3","Day6",0.00148053077336419,0.00623980278561469
"ENSMUST00000001454","Glmp","Day3",0.00026181273738668,0.00249532473275923
"ENSMUST00000001497","Cideb","Day3",0.000127061535583284,0.00174094536700738
"ENSMUST00000001513","Tubb6","Day3",0.00223096354345409,0.00784318517913898
"ENSMUST00000001522","Def8","Day12",0.0487596317973475,0.0491599854132536
"ENSMUST00000001538","Pax9","Day3",0.0309662103285007,0.0369279402927739
"ENSMUST00000001544","Vwa5a","Day3",0.000175145895921158,0.00204643613944074
"ENSMUST00000001559","Itfg2","Day6",0.00559696696240852,0.0133093363793708
"ENSMUST00000001562","Tulp3","Day12",0.00308454908871092,0.00939112412694692
"ENSMUST00000001565","Gtf2h4","Day3",0.0496500976065322,0.0497470316176783
"ENSMUST00000001569","Flot1","Day12",0.0050225583638398,0.0124391013003445
"ENSMUST00000001592","Jup","Day3",3.3511794540475e-05,0.000897909729220359
