"isoform_id","gene_name","best_day","p_value"
"ENSMUST00000037206","Agbl2","Day12",6.4170890823334e-14
"ENSMUST00000043739","Elovl3","Day3",6.4170890823334e-14
"ENSMUST00000097952","Irf7","Day3",6.4170890823334e-14
"ENSMUST00000121983","Iqcm","Day6",6.4170890823334e-14
"ENSMUST00000123283","Arhgap4","Day3",6.4170890823334e-14
"ENSMUST00000125105","Ppig","Day12",6.4170890823334e-14
"ENSMUST00000127104","Psmd1","Day3",6.4170890823334e-14
"ENSMUST00000129371","Cenpu","Day12",6.4170890823334e-14
"ENSMUST00000130899","Odf2","Day3",6.4170890823334e-14
"ENSMUST00000136971","Specc1","Day12",6.4170890823334e-14
