gene,ensembl_exon_id,isoform_type,variant_count_clinvar,variant_count_gnomad,fisher_p,fdr,min_fdr_for_gene
AAAS,ENSE00002404986,non_canonical,6,2,1.525443461128919e-7,1.334196435202242e-4,1.334196435202242e-4
ABCA4,ENSE00003831467,non_canonical,0,38,4.190280971222218e-7,3.1978369660035067e-4,3.1978369660035067e-4
ABCC6,ENSE00002655440,non_canonical,12,30,2.695551309792096e-5,0.01112078392120695,0.01112078392120695
ABCC8,ENSE00003918181,non_canonical,28,22,4.816661869545215e-7,3.6050770941446975e-4,3.6050770941446975e-4
ACVRL1,ENSE00004020483,non_canonical,60,18,7.305897236484269e-6,0.00371508515287801,0.00371508515287801
AFF3,ENSE00001647850,non_canonical,9,23,5.8297363353130976e-8,5.928899956697825e-5,5.928899956697825e-5
AFG3L2,ENSE00003936250,non_canonical,4,12,1.555343441717286e-4,0.04848490166787125,0.04848490166787125
AGO1,ENSE00003789507,non_canonical,5,4,1.207366648874857e-6,7.6999808031994e-4,7.6999808031994e-4
AIRE,ENSE00001050710,non_canonical,10,16,6.2724946451095904e-6,0.00326553751830093,0.00326553751830093
ALDH5A1,ENSE00001944818,non_canonical,1,81,8.931322472839569e-6,0.00443840330419748,0.00443840330419748
ALDH7A1,ENSE00002073839,non_canonical,8,4,2.048341739255826e-5,0.00883152638339427,0.00883152638339427
ALG1,ENSE00003916474,non_canonical,10,22,1.7369646308962514e-5,0.00771726578824325,0.00771726578824325
ANKRD11,ENSE00003826875,non_canonical,4,5,1.968927954726427e-5,0.00858587215813182,0.00858587215813182
ANXA11,ENSE00003555103,non_canonical,4,17,8.713686602834245e-5,0.02993752797822243,0.02993752797822243
APC,ENSE00003730803,non_canonical,5,18,1.3644449755487871e-6,8.612039091030818e-4,8.612039091030818e-4
APP,ENSE00001948125,non_canonical,5,17,8.324325293719419e-7,5.752240313574241e-4,5.752240313574241e-4
APTX,ENSE00001820025,non_canonical,5,14,1.6659724670748396e-6,0.00102613177388521,0.00102613177388521
AR,ENSE00003475785,non_canonical,7,188,1.737840613598675e-23,3.799912633105903e-19,3.799912633105903e-19
ARID1A,ENSE00001698973,non_canonical,10,13,6.716624354949411e-9,8.78672242537228e-6,8.78672242537228e-6
ARID1B,ENSE00003783488,canonical,1,443,3.969985683346805e-6,0.00217794268348767,0.00217794268348767
ARSA,ENSE00002394629,non_canonical,86,101,1.314675183135766e-5,0.00611623658148207,0.00611623658148207
ASAH1,ENSE00002102113,non_canonical,12,40,1.9157269854187647e-5,0.00841380695518496,0.00841380695518496
ASL,ENSE00003895172,canonical,30,37,1.7926422827197826e-5,0.00789587993649179,0.00789587993649179
ATL1,ENSE00002499412,non_canonical,12,7,5.682270089537576e-5,0.02098258769371824,0.02098258769371824
ATM,ENSE00003922119,non_canonical,10,57,1.4058818929479076e-4,0.04432220031608789,0.04432220031608789
