Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Mouse gene name,Mouse gene stable ID,Mouse protein or transcript stable ID
ENSG00000085224,ENSG00000085224.23,ENST00000373344,ENST00000373344.11,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000675732,ENST00000675732.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000395603,ENST00000395603.7,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000480283,ENST00000480283.5,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000623706,ENST00000623706.3,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000624766,ENST00000624766.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000637959,ENST00000637959.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000637175,ENST00000637175.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000623316,ENST00000623316.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000636152,ENST00000636152.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000636868,ENST00000636868.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000479487,ENST00000479487.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000675908,ENST00000675908.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000400866,ENST00000400866.4,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000623242,ENST00000623242.3,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000460639,ENST00000460639.2,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000624166,ENST00000624166.3,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000493470,ENST00000493470.2,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000624032,ENST00000624032.3,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000623321,ENST00000623321.3,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000625063,ENST00000625063.3,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000624668,ENST00000624668.3,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000635865,ENST00000635865.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000622960,ENST00000622960.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000085224,ENSG00000085224.23,ENST00000624193,ENST00000624193.1,Atrx,ENSMUSG00000031229,ENSMUSP00000109203
ENSG00000005339,ENSG00000005339.15,ENST00000262367,ENST00000262367.10,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000382070,ENST00000382070.7,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000637492,ENST00000637492.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000571763,ENST00000571763.5,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000576720,ENST00000576720.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000570939,ENST00000570939.2,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000574740,ENST00000574740.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000573517,ENST00000573517.6,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000572569,ENST00000572569.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000635919,ENST00000635919.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000638158,ENST00000638158.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000573672,ENST00000573672.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000571826,ENST00000571826.5,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000572134,ENST00000572134.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000575237,ENST00000575237.2,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000634839,ENST00000634839.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000636002,ENST00000636002.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000635753,ENST00000635753.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000635899,ENST00000635899.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000005339,ENSG00000005339.15,ENST00000636895,ENST00000636895.1,Crebbp,ENSMUSG00000022521,ENSMUSP00000023165
ENSG00000147099,ENSG00000147099.21,ENST00000373583,ENST00000373583.6,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000373573,ENST00000373573.9,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000648850,ENST00000648850.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000649097,ENST00000649097.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000648452,ENST00000648452.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000648855,ENST00000648855.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000647886,ENST00000647886.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000648459,ENST00000648459.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000648504,ENST00000648504.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000648939,ENST00000648939.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000647654,ENST00000647654.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000373589,ENST00000373589.9,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000647859,ENST00000647859.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
ENSG00000147099,ENSG00000147099.21,ENST00000647980,ENST00000647980.1,Hdac8,ENSMUSG00000067567,ENSMUSP00000085226
