gene,ensembl_exon_id,isoform_type,variant_count_clinvar,variant_count_gnomad,fisher_p,fdr,odds_ratio,avg_rank_score
CHD2,ENSE00003770198,non_canonical,15,0,1.9562409353369512e-16,6.590575711150189e-13,Inf,4.5
CHD3,ENSE00003916659,non_canonical,12,1,6.407704599126006e-13,7.195852264818505e-10,171.88774939247247,11
SETD5,ENSE00003933344,non_canonical,12,13,1.7211459638120106e-13,2.899270376041332e-10,65.39761909445038,13
NSD1,ENSE00003925601,non_canonical,15,3,1.5042736425601601e-10,1.0135795803570358e-7,32.23146472474065,23
CREBBP,ENSE00003796737,non_canonical,8,1,5.70132763538387e-7,1.7461611639643868e-4,57.254375765108726,24
DNMT1,ENSE00002853940,non_canonical,4,5,3.1095042925465064e-6,6.547449975993238e-4,120.949681215866,25
BPTF,ENSE00003585085,non_canonical,3,6,1.9238274271831325e-5,0.002700572750908322,Inf,26.5
MORC2,ENSE00003502149,non_canonical,6,4,1.5580169412998472e-6,3.7492564823137035e-4,47.970656980663456,27
HR,ENSE00001813128,non_canonical,2,0,2.858776443682107e-5,0.0037043145533711607,Inf,27.5
KMT2B,ENSE00002213924,non_canonical,3,3,1.1303526809411354e-5,0.0019040790910453424,147.10494852852173,27.5
KMT2D,ENSE00003931838,non_canonical,10,11,1.3360051555811947e-9,6.430001955932922e-7,26.373043315717688,28
NSD1,ENSE00003923942,non_canonical,17,5,6.499346349424304e-11,5.4740744628026204e-8,22.513303161747587,28
CREBBP,ENSE00002640954,non_canonical,15,5,1.8736300218743641e-10,1.0520432572824554e-7,23.61404868990438,29
PHF3,ENSE00000757767,canonical,10,249,5.195330146292532e-5,0.006097791291654014,Inf,30
KDM3B,ENSE00003526737,canonical,4,4,1.0978572655189387e-5,0.0019040790910453424,63.62181742535456,30.5
SMARCA4,ENSE00002755975,non_canonical,11,4,2.3257777501394866e-7,7.89475092738831e-5,19.904653084651653,34.5
SMARCA2,ENSE00001776828,non_canonical,12,8,3.696199906410614e-8,1.55656218558717e-5,17.819054854345957,36
AIRE,ENSE00002196264,canonical,10,16,2.3433514180434285e-7,7.89475092738831e-5,17.835315438750598,36.5
EHMT1,ENSE00003796698,non_canonical,3,0,2.3019495585019497e-4,0.01988530272459761,Inf,37.5
SETD1B,ENSE00002263059,non_canonical,4,7,3.2076517073455213e-4,0.026357508785480637,Inf,39.5
ATRX,ENSE00003560102,non_canonical,7,2,1.40475260063966e-5,0.0022536245293119117,26.173547256888988,42
KDM4B,ENSE00002779864,non_canonical,2,1,2.853825309372929e-4,0.024036343668193495,272.1219211620179,42
KMT2D,ENSE00003920995,non_canonical,6,8,8.394996329711865e-6,0.0015712634797110706,19.67256486000095,43
PHIP,ENSE00003978906,non_canonical,5,2,5.2489150328871006e-5,0.006097791291654014,35.80059124411924,43.5
EZH2,ENSE00003922375,canonical,15,7,7.67096180448079e-7,2.1536225266079818e-4,14.80694423769183,44
CHD7,ENSE00002150642,non_canonical,7,20,6.01949898110562e-6,0.0011929230627849903,17.74533178291219,45
KDM6A,ENSE00001849545,non_canonical,4,2,7.601768312354669e-5,0.00776071437706754,46.80900174252127,45
NSD1,ENSE00003933997,non_canonical,14,11,2.085103697133623e-6,4.6831429037621174e-4,7.975960615066764,51
HDAC8,ENSE00003835578,non_canonical,7,1,1.382836674627098e-4,0.012941046546718592,28.19849580657173,52
SETD5,ENSE00003927390,non_canonical,3,2,3.43460481922902e-4,0.02755043722852992,47.628993812057914,52
ATRX,ENSE00003900993,non_canonical,7,3,4.208684399776245e-5,0.005251502867720803,17.432407905095953,55
KMT2D,ENSE00003917668,non_canonical,9,31,1.6553812393010575e-5,0.002424773650089245,8.093312548593861,57.5
CHD8,ENSE00003660482,non_canonical,3,4,5.487654320250174e-4,0.0410842386776063,30.840609634188144,58
CHD3,ENSE00003917434,non_canonical,6,4,6.306891941247091e-5,0.006837380843799285,17.338911536921067,59
KMT2D,ENSE00003916437,non_canonical,10,40,1.6043678532203933e-5,0.002424773650089245,7.105451217840668,59.5
AIRE,ENSE00003484440,non_canonical,8,20,8.281586067422075e-5,0.00820607748857205,9.277595546434073,65
SMARCA2,ENSE00003790163,non_canonical,6,4,2.0101430190454212e-4,0.017821504818852696,13.975549015229246,66
CHD4,ENSE00003827001,non_canonical,10,14,9.426265107934681e-5,0.009073453471037697,7.024354881474529,70
EHMT1,ENSE00003792678,non_canonical,5,7,4.204492169289441e-4,0.03219303208712756,12.319531059745005,72
