gene,ensembl_exon_id,isoform_type,variant_count_clinvar,variant_count_gnomad,fisher_p,fdr,odds_ratio,avg_rank_score
PCDH19,ENSE00001174648,canonical,105,125,5.171838327564352e-21,7.454015426368674e-17,Inf,26.5
CHD2,ENSE00003770198,non_canonical,15,0,1.9562409353369512e-16,1.409735686436544e-12,Inf,32.5
PAX6,ENSE00001819707,non_canonical,25,1,2.693144513094919e-17,2.425967745242696e-13,135.5061979399872,66
ATN1,ENSE00002282986,non_canonical,7,1,1.4281261405494544e-10,2.781507246742854e-7,Inf,67.5
GNAS,ENSE00001946001,non_canonical,15,2,1.0493448717367228e-16,7.959943596252561e-13,129.0705657303595,69
DICER1,ENSE00002141562,non_canonical,18,10,3.1499394802387304e-19,4.1271938860760686e-15,112.25691826825881,72
YY1,ENSE00001188710,canonical,17,0,2.753272148577658e-10,4.860142071332597e-7,Inf,73.5
CHD3,ENSE00003916659,non_canonical,12,1,6.407704599126006e-13,2.1477284668796137e-9,171.88774939247247,76
KCNQ2,ENSE00004020495,canonical,40,2,9.412535370900855e-25,2.2610008090030458e-20,86.35186281181576,78
CDKL5,ENSE00003754933,non_canonical,23,5,7.02296531689232e-17,5.623327345709664e-13,101.8989550158469,79
TFAP2A,ENSE00001851244,non_canonical,18,3,2.195377577198864e-16,1.5067294479473364e-12,107.26382460878786,80
KCNH1,ENSE00003803144,non_canonical,14,19,1.3342027652988338e-14,5.827110362249242e-11,116.75296514116661,81
TCF4,ENSE00002623377,non_canonical,35,10,2.7787075965260534e-26,8.00973579529021e-22,73.87351768830018,84
MFRP,ENSE00003594772,canonical,5,0,1.573561195045186e-9,2.3624234828987243e-6,Inf,85.5
SOX10,ENSE00003846426,non_canonical,30,30,3.7864518869794345e-15,1.9490355396953032e-11,100.89755870019953,87
MEIS2,ENSE00002561603,non_canonical,6,1,1.8213403137002258e-9,2.5990526276502223e-6,Inf,88.5
CBL,ENSE00003979906,non_canonical,10,18,3.200409866216153e-11,7.818058860815856e-8,162.2195086741203,89
RORA,ENSE00002573238,non_canonical,5,1,1.941098469487344e-9,2.7321001264610962e-6,Inf,90.5
GRIN2B,ENSE00000993718,non_canonical,15,0,1.956995044824589e-9,2.7321001264610962e-6,Inf,90.5
IKBKG,ENSE00001692514,non_canonical,7,0,2.6527776829066047e-9,3.5144352100988833e-6,Inf,95
MYT1L,ENSE00001929052,non_canonical,7,0,2.6578880980023055e-9,3.5144352100988833e-6,Inf,95
CACNA1A,ENSE00003795205,non_canonical,17,1,3.40566450851471e-13,1.1971907527285358e-9,99.63733939469645,95
GATA3,ENSE00001751140,canonical,11,0,6.497041742928105e-9,7.868900296495789e-6,Inf,102
BRCA2,ENSE00003744847,non_canonical,23,16,1.7338955274660733e-24,3.570016581244325e-20,60.05117890865382,103
MITF,ENSE00003675253,non_canonical,10,2,1.0947512187780776e-10,2.2540458415546858e-7,114.56501791276582,106
SETD5,ENSE00003933344,non_canonical,12,13,1.7211459638120106e-13,6.36060523913676e-10,65.39761909445038,112
GRIN1,ENSE00001775900,non_canonical,9,1,1.644159655762337e-9,2.442966996969674e-6,200.1537413753193,113
COL6A1,ENSE00002442314,canonical,11,2,4.115385636589605e-11,9.885636427412501e-8,74.56487978467298,117
TRIO,ENSE00003565792,non_canonical,6,2,1.694306433493023e-9,2.491788809592336e-6,181.46781208645112,117
SOX5,ENSE00003589058,non_canonical,13,3,1.1599896333621097e-11,2.9854611765639424e-8,72.3427570232785,119
NALCN,ENSE00003901132,non_canonical,6,0,3.2370263281873823e-8,3.3088148482458356e-5,Inf,120.5
HCN4,ENSE00001714815,canonical,11,18,6.7504472479476686e-12,1.8805437794282553e-8,65.16948740935736,121.5
DHDDS,ENSE00001843824,non_canonical,7,8,3.58310160053872e-8,3.636772425217212e-5,Inf,121.5
KIF1A,ENSE00003840655,non_canonical,6,2,3.1062168873788843e-9,4.069906557520513e-6,186.41221069282028,125
COL6A2,ENSE00003507459,non_canonical,17,5,2.2712701843199367e-15,1.2586907645938065e-11,49.67236737115081,125.5
FGFR2,ENSE00003551993,non_canonical,19,8,2.0951169037283e-14,8.62751182810425e-11,53.31716985458208,126
