Mouse Transcript ID	Mouse Gene	Human Gene	Human Protein ID (ENSP)	Human Transcript ID (ENST)
ENSMUST00000037206	Agbl2	AGBL2	ENSP00000376394	ENST00000393225
ENSMUST00000043739	Elovl3	—	—	—
ENSMUST00000097952	Irf7	IRF7	ENSP00000381862	ENST00000398856
ENSMUST00000121983	Iqcm	—	—	—
ENSMUST00000123283	Arhgap4	ARHGAP4	ENSP00000298218	ENST00000298218
ENSMUST00000125105	Ppig	PPIG	ENSP00000428371	ENST00000405540
ENSMUST00000127104	Psmd1	PSMD1	ENSP00000269250	ENST00000269250
ENSMUST00000129371	Cenpu	CENPU	ENSP00000372790	ENST00000383521
ENSMUST00000130899	Odf2	ODF2	ENSP00000282817	ENST00000282817
ENSMUST00000136971	Specc1	SPECC1	ENSP00000440661	ENST00000465501
